unit,task_id,mixer,seed,p,strategy,status,loss,energy_report,p_opt,p_feas,p_opt_given_feas,objective_evaluations,gradient_evaluations,work_credits,work_budget,nominal_layer_work,fit_seconds,iterations,winner_call,active_parameter_count,earlier_parameter_change,incomplete_previous_calls_charged,ancestor_calls,ancestor_gradients,ancestor_credits,ancestor_layer_work,ancestor_fit_seconds,cumulative_layer_work,cumulative_credits,cumulative_fit_seconds,cumulative_calls,parent_record,parent_sha256,winner_sha256,has_state,complex_state_sha256,independent_state_error,cnot,ancillas,one_qubit,toffoli,initial_parameters_sha256,anchor_present,prefix_present
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,1,SHARED_P1,CONVERGED,0.6081285002946124,0.6081285002946123,3.78101683449678e-05,0.00019162088412625751,0.19731757588622215,7,7,21,64,21,0.08341217041015625,4,7,2,,0,0,0,0,0,0.0,21,21,0.08341217041015625,7,,,3070b202d9f6e2f53f9428ada76e96b270e096615d7b2d29734b89bb309bc6a4,True,d88a644baa3263a93abb44ac3a19c49583ebc078c89c31d07d093c3f528b64ef,9.889445383256551e-18,9970,509,12457,1348,66808559f3520a3c59256e187b2ad82c712579873da9f7828314da69f62478d9,False,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,2,FROZEN_LAYERWISE,CONVERGED,0.5152674810892077,0.5152674810892081,3.785568438084369e-05,0.0001470215926562671,0.25748384095762966,7,6,19,64,38,0.12064743041992188,3,7,2,0.0,0,7,7,21,21,0.08341217041015625,59,40,0.20405960083007812,14,fits/tv2_m16_branch_00__X__s9101/p001/SHARED_P1/WINNER.json,3070b202d9f6e2f53f9428ada76e96b270e096615d7b2d29734b89bb309bc6a4,89942b9bc9a08e1c8ce6bd3342eca9c8f1abebb34f0e2bbcd263ee5aaec8312c,False,,,19940,509,24898,2696,4e1d0572b3870ea35614184b37a1eb0467c10419fae2c79b44c6807be3af1de2,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,2,WARM_JOINT,CONVERGED,0.5152674810892077,0.5152674810892081,3.785568438084369e-05,0.0001470215926562671,0.25748384095762966,7,6,19,64,38,0.12175869941711426,3,7,4,0.0,0,7,7,21,21,0.08341217041015625,59,40,0.2051708698272705,14,fits/tv2_m16_branch_00__X__s9101/p001/SHARED_P1/WINNER.json,3070b202d9f6e2f53f9428ada76e96b270e096615d7b2d29734b89bb309bc6a4,0c04492c8c98f4726719e16451fc18f9877d2f6e8e6a5a6e5599d83fb5fe936f,False,,,19940,509,24898,2696,4e1d0572b3870ea35614184b37a1eb0467c10419fae2c79b44c6807be3af1de2,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,3,FROZEN_LAYERWISE,CONVERGED,0.4265425418219668,0.42654254182196727,1.765845984469116e-05,5.199606398099562e-05,0.3396114723442387,6,5,16,64,48,0.15090394020080566,3,6,2,0.0,0,14,13,40,59,0.20405960083007812,107,56,0.3549635410308838,20,fits/tv2_m16_branch_00__X__s9101/p002/FROZEN_LAYERWISE/WINNER.json,89942b9bc9a08e1c8ce6bd3342eca9c8f1abebb34f0e2bbcd263ee5aaec8312c,c8fbea5e9fd479d2389f89b1441be979277004f741aaabcd4485f4d31613a10b,False,,,29910,509,37339,4044,e2c59eb4387d1495b4f4855b3e8bc5843ebe1394eadd600a9024bc0621420921,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,3,WARM_JOINT,CONVERGED,0.4265425418219668,0.42654254182196727,1.765845984469116e-05,5.199606398099562e-05,0.3396114723442387,7,6,19,64,57,0.15921568870544434,4,7,6,0.0,0,14,13,40,59,0.2051708698272705,116,59,0.36438655853271484,21,fits/tv2_m16_branch_00__X__s9101/p002/WARM_JOINT/WINNER.json,0c04492c8c98f4726719e16451fc18f9877d2f6e8e6a5a6e5599d83fb5fe936f,8c35a799b0690f8b1a0ff7c892c0d7cb5ccfd87d064bcee9df5f39cc0f9cf0c7,False,,,29910,509,37339,4044,e2c59eb4387d1495b4f4855b3e8bc5843ebe1394eadd600a9024bc0621420921,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,4,FROZEN_LAYERWISE,CONVERGED,0.37764857392569096,0.3776485739256915,5.608460489256535e-06,1.3898269370710184e-05,0.4035366087432474,6,5,16,64,64,0.18384075164794922,4,6,2,0.0,0,20,18,56,107,0.3549635410308838,171,72,0.538804292678833,26,fits/tv2_m16_branch_00__X__s9101/p003/FROZEN_LAYERWISE/WINNER.json,c8fbea5e9fd479d2389f89b1441be979277004f741aaabcd4485f4d31613a10b,e09717d5ae0bd6dccb7b3b02814a6de95db09308638f4edf1cc8552b3620a171,True,44b04a1c434a9caccb5c86fe281e4b1c3d7d60415f386368b4dc30740d4f41ea,1.5593224665824853e-16,39880,509,49780,5392,234dcac6bb15274af344cb40b24b52afc2a8767516d91ed4703496a1505fe74e,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,4,WARM_JOINT,CONVERGED,0.376441551578645,0.3764415515786449,3.252969592509489e-06,5.858843146925357e-06,0.5552238745658524,13,12,37,64,148,0.42019176483154297,11,13,8,1.4595616359455157,0,21,19,59,116,0.36438655853271484,264,96,0.7845783233642578,34,fits/tv2_m16_branch_00__X__s9101/p003/WARM_JOINT/WINNER.json,8c35a799b0690f8b1a0ff7c892c0d7cb5ccfd87d064bcee9df5f39cc0f9cf0c7,2096f793722d6a57e812107e5eb406c8cc455201c30bc4bbe758ad7e762d1e2a,True,a44cc3342f2639dcabf94bdc253296087f0add92b226cacace1d7f7fb809ee11,9.309503074677274e-17,39880,509,49780,5392,234dcac6bb15274af344cb40b24b52afc2a8767516d91ed4703496a1505fe74e,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,4,RANDOM_JOINT,CONVERGED,0.37644155157919745,0.37644155157919734,3.2529854249042353e-06,5.858856827873537e-06,0.5552252803700789,14,14,42,64,168,0.45893192291259766,11,14,8,5.920499264098299,0,0,0,0,0,0.0,168,42,0.45893192291259766,14,,,c5bdefd2d093dd961fa713001a59f18d92bc53cea691967370b0ec83a8c606eb,True,fc09e56cd06286807a84a56b0a63fc27da2ef1624d25031de5a8834235e8f083,1.3092278833360675e-16,39880,509,49780,5392,85ad5e90300e5dc4ed007809a39a46a7a355d1ce1c044593dbb72c2af34ad449,False,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,5,FROZEN_LAYERWISE,CONVERGED,0.37257527639062477,0.37257527639062515,2.506866882070368e-06,9.29709408707604e-06,0.26963983139152936,11,10,31,64,155,0.42360877990722656,7,11,2,0.0,0,26,23,72,171,0.538804292678833,326,103,0.9624130725860596,37,fits/tv2_m16_branch_00__X__s9101/p004/FROZEN_LAYERWISE/WINNER.json,e09717d5ae0bd6dccb7b3b02814a6de95db09308638f4edf1cc8552b3620a171,83be8ea9497f5da5d15ee50b6aea08d55aea315649b55a9fce92f78265c9d529,False,,,49850,509,62221,6740,8ef11fc13d22069188c500609c704a8c71e8e93bed3e09c10f838b19774e1d2e,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,5,WARM_JOINT,BUDGET_EXHAUSTED,0.3683424186380012,0.3683424186380013,2.555682167481201e-06,9.314746154762033e-06,0.274369491666141,22,21,64,64,320,0.8947620391845703,18,22,10,1.4595616359455157,0,34,31,96,264,0.7845783233642578,584,160,1.6793403625488281,56,fits/tv2_m16_branch_00__X__s9101/p004/WARM_JOINT/WINNER.json,2096f793722d6a57e812107e5eb406c8cc455201c30bc4bbe758ad7e762d1e2a,dfc5f3083bd8cbb1e5a79092f38d4413db1c25db6db4a4aa62b1c6f02d9bc019,False,,,49850,509,62221,6740,4c1a4c5f71d99bcf5b41aea0c08b44335885fb78f4261c0b259c4141ddd87f50,True,False
