unit,strategy,rank,mask,cost,optimal,probability
tv2_m16_branch_00__X__s9101,FROZEN_LAYERWISE,1,192,119,True,4.210179611131845e-06
tv2_m16_branch_00__X__s9101,FROZEN_LAYERWISE,2,16704,152,False,2.8999838320017436e-06
tv2_m16_branch_00__X__s9101,FROZEN_LAYERWISE,3,24,156,False,2.4744108511902636e-06
tv2_m16_branch_00__X__s9101,FROZEN_LAYERWISE,4,84,225,False,1.8517367813632294e-06
tv2_m16_branch_00__X__s9101,FROZEN_LAYERWISE,5,33344,213,False,1.3861176118740071e-06
tv2_m16_branch_00__X__s9101,FROZEN_LAYERWISE,6,20560,265,False,1.161721105783913e-06
tv2_m16_branch_00__X__s9101,WARM_JOINT,1,192,119,True,0.21405950805492283
tv2_m16_branch_00__X__s9101,WARM_JOINT,2,16704,152,False,0.14100901763134752
tv2_m16_branch_00__X__s9101,WARM_JOINT,3,24,156,False,0.1373547080097053
tv2_m16_branch_00__X__s9101,WARM_JOINT,4,33344,213,False,0.03806579755544471
tv2_m16_branch_00__X__s9101,WARM_JOINT,5,84,225,False,0.030812878425481548
tv2_m16_branch_00__X__s9101,WARM_JOINT,6,20560,265,False,0.014064527593522372
tv2_m16_branch_00__X__s9101,RANDOM_JOINT,1,192,119,True,0.06648406791780434
tv2_m16_branch_00__X__s9101,RANDOM_JOINT,2,24,156,False,0.06597819663329084
tv2_m16_branch_00__X__s9101,RANDOM_JOINT,3,16704,152,False,0.06270914156196057
tv2_m16_branch_00__X__s9101,RANDOM_JOINT,4,33344,213,False,0.05859906141628958
tv2_m16_branch_00__X__s9101,RANDOM_JOINT,5,84,225,False,0.054252605716098495
tv2_m16_branch_00__X__s9101,RANDOM_JOINT,6,20560,265,False,0.05146677922279196
tv2_m16_branch_00__MULTI__s9101,FROZEN_LAYERWISE,1,16704,152,False,2.4948793811342538e-05
tv2_m16_branch_00__MULTI__s9101,FROZEN_LAYERWISE,2,24,156,False,2.1058533106310772e-05
tv2_m16_branch_00__MULTI__s9101,FROZEN_LAYERWISE,3,33344,213,False,1.7000011320736456e-05
tv2_m16_branch_00__MULTI__s9101,FROZEN_LAYERWISE,4,192,119,True,1.28511550161385e-05
tv2_m16_branch_00__MULTI__s9101,FROZEN_LAYERWISE,5,20560,265,False,1.2383097627228978e-05
tv2_m16_branch_00__MULTI__s9101,FROZEN_LAYERWISE,6,84,225,False,4.738408414571295e-06
tv2_m16_branch_00__MULTI__s9101,WARM_JOINT,1,16704,152,False,0.45000556301964006
tv2_m16_branch_00__MULTI__s9101,WARM_JOINT,2,84,225,False,0.11483159937821796
tv2_m16_branch_00__MULTI__s9101,WARM_JOINT,3,192,119,True,0.11343754653079703
tv2_m16_branch_00__MULTI__s9101,WARM_JOINT,4,24,156,False,0.08407186158643938
tv2_m16_branch_00__MULTI__s9101,WARM_JOINT,5,20560,265,False,0.0657730951946001
tv2_m16_branch_00__MULTI__s9101,WARM_JOINT,6,33344,213,False,0.05888632271910364
